"","doi","ps","reporting","p_value"
"347","10.1016/j.jasrep.2023.103894","p = 0.002 ","exact",0.002
"348","10.1016/j.jasrep.2023.103894","p = 0.75 )","exact",0.75
"349","10.1016/j.jasrep.2023.103894","p = 1.0 ).","exact",1
"350","10.1016/j.jasrep.2023.103894","p < 0.05 )","inequ",0.025
"351","10.1016/j.jasrep.2023.103894","p > 0.05 )","inequ",0.05
"352","10.1016/j.jasrep.2023.103894","p > 0.05 )","inequ",0.05
"353","10.1016/j.jasrep.2023.103894","p = 0.01 ;","exact",0.01
"354","10.1016/j.jasrep.2023.103894","p > 0.05 )","inequ",0.05
"355","10.1016/j.jasrep.2023.103894","p > 0.05 )","inequ",0.05
"356","10.1016/j.jasrep.2023.103894","p > 0.05 )","inequ",0.05
"357","10.1016/j.jasrep.2023.103894","p > 0.05 )","inequ",0.05
"358","10.1016/j.jasrep.2023.103894","p < 0.05 )","inequ",0.025
"359","10.1016/j.jasrep.2023.103894","p < 0.05 )","inequ",0.025
"360","10.1016/j.jasrep.2023.103894","p > 0.05 )","inequ",0.05
"361","10.1016/j.jasrep.2023.103827","p < 0.0001","inequ",5e-05
"362","10.1016/j.jasrep.2023.103827","p < 0.0001","inequ",5e-05
"363","10.1016/j.jasrep.2023.103827","p = 0.33) ","exact",0.33
"364","10.1016/j.jasrep.2023.103827","p < 0.001,","inequ",5e-04
"365","10.1016/j.jasrep.2023.103847","p = bab al","exact",NA
"366","10.1016/j.jasrep.2023.103847","p = (1.032","exact",1.032
"367","10.1016/j.jasrep.2023.103847","p < 0.05) ","inequ",0.025
"368","10.1016/j.jasrep.2022.103813","p = 1193; ","exact",1193
"369","10.1016/j.jasrep.2022.103813","p = 39.2).","exact",39.2
"370","10.1016/j.jasrep.2023.103923","p = close ","exact",1e-05
"371","10.1016/j.jasrep.2023.103923","p < 0.0001","inequ",5e-05
"372","10.1016/j.jasrep.2023.103923","p = 0.12) ","exact",0.12
"373","10.1016/j.jasrep.2023.103923","p < 0.001)","inequ",5e-04
"374","10.1016/j.jasrep.2023.103923","p < 0.001)","inequ",5e-04
"375","10.1016/j.jasrep.2023.103923","p < 0.001)","inequ",5e-04
"376","10.1016/j.jasrep.2023.103923","p = 0.13 a","exact",0.13
"377","10.1016/j.jasrep.2023.103923","p = 0.56, ","exact",0.56
"378","10.1016/j.jasrep.2023.103848","p = 0.04) ","exact",0.04
"379","10.1016/j.jasrep.2023.103900","p = 0.550)","exact",0.55
"380","10.1016/j.jasrep.2023.103900","p = 0.494)","exact",0.494
"381","10.1016/j.jasrep.2023.103900","p = 0.122)","exact",0.122
"382","10.1016/j.jasrep.2023.103900","p = 0.093)","exact",0.093
"383","10.1016/j.jasrep.2023.103900","p = 0.388)","exact",0.388
"384","10.1016/j.jasrep.2023.103900","p = 0.750)","exact",0.75
"385","10.1016/j.jasrep.2023.103900","p = 0.103)","exact",0.103
"386","10.1016/j.jasrep.2023.103900","p = 0.636)","exact",0.636
"387","10.1016/j.jasrep.2023.103900","p = 0.033.","exact",0.033
"388","10.1016/j.jasrep.2023.103900","p = 0.017)","exact",0.017
